11123221, 34.2, 41.0, 184.8
11123222, 34.2, 62.9, 219.4
11123223, 30.8, 86.0, 263.35
11123231, 45.75, 31.7, 158.55
11123232, 37.25, 56.85, 199.0
11123311, 20.65, 57.85, 201.2
11123233, 37.7, 71.9, 232.95
11123312, 25.2, 76.85, 239.8
11123313, 24.6, 99.1, 270.0
11123321, 22.6, 47.65, 185.45
11123322, 24.15, 71.0, 216.4
11123323, 25.45, 89.4, 250.8
11123331, 25.05, 35.15, 160.35
11123332, 28.2, 57.0, 192.05
11123333, 28.15, 75.75, 233.5
11131111, 105.05, 16.35, 126.7
11131112, 62.25, 47.45, 214.9
11131113, 56.25, 70.9, 249.4
11131121, 168.05, 12.3, 103.3
11131122, 82.75, 34.25, 182.05
11131123, 55.2, 65.1, 233.15
11131131, 146.25, 12.1, 89.15
11131132, 99.9, 26.6, 154.15
11131133, 63.6, 50.0, 199.55
11131211, 49.05, 19.1, 135.55
11131212, 29.4, 45.55, 213.4
11131213, 25.1, 73.8, 245.5
11131221, 78.4, 15.7, 115.3
11131222, 39.05, 37.15, 183.8
11131223, 28.95, 62.6, 220.95
11131231, 57.8, 12.85, 88.85
11131232, 35.3, 26.95, 150.25
11131233, 32.55, 52.7, 195.05
11131311, 17.65, 23.55, 137.5
11131312, 24.35, 48.55, 204.2
11131313, 20.7, 78.0, 239.5
11131321, 13.9, 22.25, 127.8
11131322, 24.75, 35.1, 184.05
11131323, 20.55, 64.6, 217.3
11131331, 6.55, 18.65, 101.1
11131332, 23.65, 32.95, 153.35
11131333, 23.85, 53.65, 195.55
11132111, 69.1, 38.1, 205.5
11132112, 67.9, 64.35, 247.55
11132113, 59.0, 92.55, 269.9
11132121, 96.8, 32.15, 171.9
11132122, 65.55, 54.55, 221.45
11132123, 64.9, 79.8, 252.05
11132131, 94.5, 22.3, 144.05
11132132, 74.0, 42.15, 198.85
11132133, 65.35, 66.6, 230.25
11132211, 29.2, 44.65, 199.15
11132212, 29.7, 68.15, 237.4
11132213, 24.85, 98.2, 275.0
11132221, 37.45, 32.1, 168.2
11132222, 32.7, 58.25, 221.85
11132223, 28.1, 82.1, 251.75
11132231, 51.8, 26.45, 143.85
11132232, 31.35, 44.25, 196.1
11132233, 31.55, 71.4, 227.95
11132311, 20.1, 47.1, 197.4
11132312, 22.4, 71.7, 248.55
11132313, 22.45, 94.5, 255.95
11132321, 20.15, 39.35, 171.6
11132322, 24.2, 63.85, 222.15
11132323, 22.45, 83.8, 244.95
11132331, 21.1, 29.2, 138.75
11132332, 23.35, 52.75, 191.2
11133111, 59.6, 64.1, 230.5
11132333, 23.55, 69.75, 225.1
11133112, 52.65, 87.95, 260.95
11133113, 56.9, 112.3, 288.9
11133121, 57.5, 52.4, 215.5
11133123, 52.05, 96.3, 285.6
11133122, 63.35, 76.05, 246.0
11133131, 74.4, 39.85, 174.65
11133132, 70.7, 59.2, 227.45
11133211, 24.9, 64.55, 226.25
11133133, 54.95, 82.05, 254.5
11133212, 26.15, 87.05, 264.65
11133213, 25.4, 111.4, 292.1
11133221, 29.95, 58.1, 207.75
11133222, 28.0, 77.15, 245.9
11133231, 29.25, 42.7, 172.15
11133223, 27.3, 95.95, 278.1
11133232, 32.45, 61.0, 221.95
11133233, 26.0, 86.6, 256.9
11133311, 19.3, 70.15, 216.7
11133312, 21.05, 87.25, 256.65
11133313, 20.8, 118.4, 287.8
11133321, 21.3, 57.75, 199.1
11133322, 22.7, 81.85, 234.35
11133323, 22.2, 102.3, 266.05
11133331, 20.8, 47.65, 177.95
11133332, 23.0, 65.6, 224.8
11133333, 23.5, 86.6, 248.25
11211111, 143.35, 5.4, 47.6
11211112, 142.5, 10.9, 81.25
11211113, 102.95, 24.75, 133.25
11211121, 169.35, 6.25, 49.4
11211122, 184.1, 11.35, 74.4
